DATEPRD,NPD_WELL_BORE_CODE,ON_STREAM_HRS,AVG_DOWNHOLE_PRESSURE,AVG_DP_TUBING,AVG_WHP_P,AVG_WHT_P,DP_CHOKE_SIZE,BORE_OIL_VOL,BORE_GAS_VOL,BORE_WAT_VOL
2014-04-22,Well-E1,24.0,289.42136166666666,182.059311875,107.36204979166666,37.93925125,78.93540895833333,631.47,90439.09,0.0
2014-04-23,Well-E1,24.0,270.23979291666666,171.05278208333334,99.18701083333332,60.756579375,70.627109375,1166.46,165720.39,0.0
2014-04-24,Well-E1,24.0,262.84274750000003,168.24197729166667,94.60077020833332,63.04679979166666,66.049150625,1549.81,221707.31,0.0
2014-04-25,Well-E1,24.0,255.5269952083333,165.538903125,89.98809208333331,64.54722916666667,61.40538625,1248.7,178063.52,0.0
2014-04-26,Well-E1,24.0,247.19905208333333,162.42224166666668,84.77681041666666,65.72369375,56.14790645833333,1345.78,192602.19,0.0
2014-04-27,Well-E1,24.0,240.736416875,159.89901979166666,80.83739708333333,66.93373229166667,52.20174708333333,1349.56,194496.27,0.0
2014-04-28,Well-E1,24.0,235.0209314583333,157.68322,77.33771145833333,67.84834791666667,48.70758354166666,1345.61,192899.71,0.0
2014-04-29,Well-E1,24.0,232.74371041666663,156.794893125,75.94881729166667,65.70691916666667,47.37571458333333,1279.46,184900.31,0.0
2014-04-30,Well-E1,24.0,233.29777791666663,157.179385,76.11839291666666,62.795643958333336,47.61060354166667,1225.62,177107.86,0.0
2014-05-01,Well-E1,24.0,231.0888975,156.39897770833332,74.68991979166667,62.376834375,46.19584333333334,1212.9,174608.88,0.0
2014-05-02,Well-E1,24.0,231.4190052083333,156.69023791666666,74.72876729166667,60.747315625,46.15029979166667,1074.04,154870.67,0.0
2014-05-03,Well-E1,24.0,230.7655452083333,156.60596666666666,74.15957854166666,60.627934375,45.73272291666667,1044.17,147929.93,0.0
2014-05-04,Well-E1,24.0,230.595831875,156.687604375,73.9082275,58.27902166666666,45.491345,970.2,139378.45,0.0
2014-05-05,Well-E1,24.0,229.423676875,156.42926291666666,72.99441395833334,54.9047225,44.54851,946.12,136980.49,0.0
2014-05-06,Well-E1,24.0,225.9024775,154.95086020833332,70.95161729166666,58.88281145833334,42.44995395833333,1002.83,144950.15,0.0
2014-05-07,Well-E1,24.0,225.76834875,155.05853583333334,70.70981291666666,57.42564229166667,42.048938541666665,925.31,135000.24,0.0
2014-05-08,Well-E1,24.0,225.68692270833333,155.14190229166667,70.54502041666667,57.655958125,41.15918895833333,913.86,127564.51,0.0
2014-05-09,Well-E1,13.83334,227.797838493126,156.8522170486809,70.94562144444508,55.95530239297234,41.74523020964568,176.8,24322.7,0.0
2014-05-10,Well-E1,24.0,226.06091479166668,155.16497145833333,70.89594333333334,57.37377854166667,41.90457979166667,944.19,52162.58,0.0
2014-05-11,Well-E1,24.0,225.09668541666667,155.16161875,69.93506666666667,58.02433354166666,41.48348958333333,823.41,117731.72,0.0
2014-05-12,Well-E1,24.0,226.0226927083333,155.79650583333333,70.226186875,56.88541625,41.80654479166667,769.01,111238.01,0.0
2014-05-13,Well-E1,24.0,226.90499510638296,156.57676718971632,70.32822791666666,54.25530875,41.925575,740.8,107144.4,0.0
2014-05-14,Well-E1,24.0,225.57624978723405,156.20376770390067,69.37248208333334,54.99535708333333,40.98107625,713.24,102880.55,0.0
2014-05-15,Well-E1,24.0,225.8925989583333,156.82564125,69.06695770833333,48.59812458333333,40.65059895833333,743.83,106745.44,0.0
2014-05-16,Well-E1,24.0,225.7007978723404,157.10794391400708,68.59285395833334,48.37775479166667,40.13814,736.09,104864.02,0.0
2014-05-17,Well-E1,24.0,223.60251041666663,156.346404375,67.25610604166667,53.92077354166667,38.83985208333333,782.88,110078.32,0.0
2014-05-18,Well-E1,24.0,220.10196229166667,154.69510125,65.40686104166667,53.83151333333333,36.990086875,834.68,117387.58,0.0
2014-05-19,Well-E1,24.0,220.49043893617025,155.1761033111702,65.314335625,55.75360791666667,36.90605083333333,788.8,109517.37,0.0
2014-05-20,Well-E1,24.0,220.153866875,155.23751041666668,64.91635645833334,55.628124375,36.50938479166667,783.06,109362.2,0.0
2014-05-21,Well-E1,24.0,220.06589395833333,155.37458229166666,64.69131166666666,52.23639666666666,36.280858125,743.77,104993.12,0.0
2014-05-22,Well-E1,24.0,219.982621875,155.54675833333334,64.43586354166666,53.66113229166667,36.01890375,735.41,107115.77,0.0
2014-05-23,Well-E1,24.0,219.86292604166667,155.572074375,64.29085166666667,49.05298020833333,35.873076875,742.89,108079.03,93.31
2014-05-24,Well-E1,24.0,219.922990625,155.75273854166667,64.17025208333334,54.6906875,35.750709791666665,746.54,108387.02,100.42
2014-05-25,Well-E1,24.0,219.9771025,155.90444416666668,64.07265833333334,55.231164375,35.671312916666665,750.57,105809.71,101.01
2014-05-26,Well-E1,24.0,219.9737753191489,156.0433946941489,63.930380625,55.10252791666666,35.528916875,727.26,106514.13,86.62
2014-05-27,Well-E1,24.0,219.98047520833333,156.24326083333332,63.737214375,55.311219375,35.33483833333333,715.5,105800.29,91.08
2014-05-28,Well-E1,24.0,219.26666729166664,155.71557541666667,63.551091875,55.508233125,35.15549520833333,695.01,102249.56,76.96
2014-05-29,Well-E1,24.0,220.00718041666667,156.54946291666667,63.4577175,56.170836875,35.05228625,698.77,102823.5,77.13
2014-05-30,Well-E1,24.0,220.0002602083333,156.66496541666666,63.33529479166667,55.851693125,34.92387833333333,704.08,103977.99,77.96
2014-05-31,Well-E1,24.0,219.99351354166663,156.78348708333334,63.21002645833333,55.59603083333333,34.79286458333333,715.93,105761.32,78.99
2014-06-01,Well-E1,24.0,220.0057370833333,156.8641125,63.14162458333333,55.963499375,34.72635520833333,724.21,107035.76,80.08
2014-06-02,Well-E1,22.0,221.3284255119818,157.53832177425,63.79010373773182,50.77397000734091,35.35194577638182,459.83,68263.31,46.21
2014-06-03,Well-E1,24.0,220.2404870833333,157.86784375,62.37264333333334,53.04666854166667,33.94682958333333,715.1,104865.93,80.7
2014-06-04,Well-E1,24.0,221.267634375,159.45106520833338,61.81656916666667,53.73631604166667,33.38708375,706.8,104234.1,79.73
2014-06-05,Well-E1,24.0,221.044650195642,158.7582230756298,62.28642712001218,54.24461231488844,33.84168292885635,677.29,99517.49,90.57
2014-06-06,Well-E1,24.0,220.7497945833333,157.67422541666667,63.07556916666667,56.53423395833333,34.64576291666667,690.38,99850.49,92.18
2014-06-07,Well-E1,24.0,220.64014083333333,157.27830479166667,63.36183604166666,56.61542145833333,34.93372958333333,694.3,100306.26,92.07
2014-06-08,Well-E1,24.0,220.50405041666667,157.18459354166666,63.319456875,52.051159375,34.891520625,690.7,99959.04,91.25
2014-06-09,Well-E1,19.5,221.45051448717945,159.1132395,62.33727498717949,53.55922412820514,34.670299666666665,238.45,34915.85,28.15
2014-06-10,Well-E1,24.0,220.85169229166667,158.07450145833334,62.77719083333334,54.48615333333333,34.351681875,647.11,95262.3,84.88
2014-06-11,Well-E1,24.0,218.41471229166663,156.68516375,61.72954854166667,54.29534729166666,33.31382708333334,745.92,108793.22,94.23
